카테고리	키워드	분류	키워드	분류	키워드	분류	키워드	분류	키워드		A = antonym	E = equal	S = sub keyword	R = related	N = disable	@ = 출력키워드	NE = 검토중인 E	NS = 검토중인 S	NR = 검토중인 R						
	@시간여행	E	시간이동																						
		E	타임슬립																						
		E	타임리프																						
		E	타임워프																						
		S	@타임머신																						
		S	@시간정지																						
		S	시간여행자																						
	@죽음	S	@가족의죽음	S	아버지의죽음																				
				S	어머니의죽음																				
				S	남편의죽음																				
				S	아내의죽음																				
				S	동생의죽음																				
				S	아이의죽음																				
				S	아들의죽음																				
				S	딸의죽음																				
				S	가족몰살																				
		S	@친구의죽음																						
		S	죽음준비																						
		S	@의문사																						
		R	삶과죽음																						
	@삶과죽음	S	삶의의미																						
	감정	S	@죄책감																						
		S	@외로움	E	고독																				
		S	@설렘	E	설레임																				
				E	설램																				
		S	@상실감																						
		S	@두려움																						
		S	@그리움																						
	@스토킹	S	스토커																						
		S	@집착	N	집요																				
				S	집착녀																				
		S	@질투																						
	@동거	S	동거녀																						
		A	별거																						
	@불륜	E	불륜관계																						
		E	내연관계																						
																									
		E	외도																						
		S	@남편의외도																						
		S	불륜현장																						
		S	불륜녀																						
		S	불륜남																						
	@스캔들	S	섹스스캔들																						
	@이별	E	헤어짐																						
		E	실연																						
		S	사별																						
		S	사랑과이별																						
	@재회	S	재결합																						
	@이혼	S	이혼가정																						
		S	부모이혼																						
		S	이혼녀																						
		S	이혼남																						
	@재혼																								
	@프로포즈	E	청혼																						
		R	사랑고백																						
	@약혼	S	약혼자																						
		S	약혼녀																						
	@파혼																								
	@결혼	E	혼인																						
		S	결혼생활																						
		S	@위장결혼	E	가짜결혼식																				
		S	@국제결혼																						
		S	@정략결혼																						
		S	중매결혼																						
		S	강제결혼																						
		S	@사기결혼																						
		S	@결혼기념일	S	결혼1주년																				
				S	결혼2주년																				
		S	결혼정보회사																						
		S	@결혼식	N	결혼기념일																				
		S	결혼반대																						
		S	@상견례																						
		S	@유부남																						
		S	@유부녀																						
		S	새신랑	N	신랑감																				
		S	새신부																						
		R	신혼																						
		N	결혼적령기																						
		N	신부	N	신부감																				
	@신혼	S	@신혼부부																						
		S	@첫날밤																						
		S	@신혼여행																						
	@임신	S	@상상임신																						
		S	@청소년임신	E	10대임신																				
		S	만삭																						
		S	@불임																						
		S	임산부																						
